ID,ESC1,ESC2,EB1,EB2,EB3,EB4,NSC1,NSC2,NEURON1,NEURON2,LIMB1,LIMB2,LIMB3,LIMB4
Brinp1,0.379881285,0.354768862,0.262351257,0.157852358,0.161781129,0.11799823,1.350328816,1.142261813,0.389811906,0.500192009,1.387749239,2.166619707,1.65447171,1.872483967
Rbm10,18.9004952,14.05440475,4.731133247,3.852410738,3.581068785,5.526991055,4.359106672,7.976828677,1.736654147,2.262136008,0.9698797,1.515162649,5.813606014,5.131635811
E2f3,0.297543587,0.260309208,0.168480007,0.149482148,0.21066147,0.19669164,2.032279223,2.476136146,0.352867998,0.508946416,2.439798381,2.634540171,2.228690518,2.85397034
Igf2,0.241760219,0.246127748,0.257904973,0.162251318,0.182389103,0.134738375,1.055117242,1.024564568,0.135723277,0.214412544,0.767219614,0.92435651,0.582937417,0.933602396
Kcnh5,1.422739526,1.816936504,0.300297398,0.419611711,0.273624222,0.142959155,1.542761446,1.187503255,0.753114423,0.672331517,6.1122747,6.598805491,3.998500244,6.349412744
Rarg,0.291076284,0.374248071,0.140566802,0.124394846,0.07589908,0.083475399,0.974842926,0.684207756,0.193979721,0.255530547,0.921727355,0.79938391,0.780032468,0.869046651
Zfp532,0.113495189,0.140041499,0.069294808,0.055715792,0.039502879,0.039971799,0.446539959,0.510339477,0.09400076,0.09245717,0.534208508,0.641661672,0.481408041,0.595259775
NDST4,0.102174205,0.092332289,0.119742786,0.030681697,0.06780774,0.04800331,0.506491258,1.47501025,0.169961587,0.228052904,0.885298118,0.531193726,0.493764856,0.606757393
FIGN,0.398424838,0.462183603,0.124859128,0.101554556,0.076743952,0.055080466,0.691659764,2.031375443,0.136189031,0.088701865,1.631165483,2.259340126,2.320090237,3.428758316
Marcks,0.324476453,0.35584373,0.133364968,0.128440444,0.170964027,0.165046945,1.239364475,1.531503441,0.323683033,0.296748022,1.675032614,1.952010896,2.340857639,3.12497363
Nipbl,0.51589818,0.556233028,0.141707003,0.204218918,0.165285776,0.134486474,6.227196213,2.564103676,0.548113959,0.532698519,2.081249178,3.171088166,2.519621612,2.422247128
Trp63,1.457146735,1.894745152,0.092020833,0.197083541,0.10381781,0.093445935,0.7299957,0.837210564,2.173101454,2.176896756,0.327869254,3.696365212,1.725808663,2.797233045
Sema6a,0.188990916,0.189841447,0.096050491,0.118790499,0.066660395,0.072518886,0.778241277,1.096942888,0.122808429,0.246193993,0.817865881,1.498292397,0.721141931,1.056954265
Mef2c,0.143862788,0.174311691,0.128504416,0.065100694,0.058216547,0.081150901,0.796871908,0.977099411,0.125073181,0.199394961,0.685285254,1.320771882,0.672125251,0.95594819
STOX2,64.4320384,39.42139983,12.39598886,26.28286945,26.65493638,26.57802976,26.96378558,93.25864351,62.83619639,288.5330667,61.23044423,70.10267844,66.18354293,40.6045437
SYTL2,2.999670205,1.978491042,0.582051636,0.535371807,0.328182523,0.230295933,1.063111038,1.629965243,0.500124965,0.531505263,2.127611514,2.031563414,3.774430844,3.617978617
