x,ES1,ES2,ES3,ES4,NSC1,NSC2,NSC3,NSC4,NSC5,NSC6,NSC7,NEU1,NEU2,NEU3,NEU4,NEU5,NEU6,ML1,ML2,ML3,ML4,ML5,ML6,EB1,EB2,EB3,EB4
"72 ""GPM6A""",0.113495189,0.140041499,0.210212293,0.204767661,NA,0.510339477,0.118990196,0.133465916,0.105875233,0.145045434,0.089446448,0.09400076,0.09245717,0.138924041,0.269337049,0.067440988,0.131892748,0.481408041,0.595259775,0.534208508,0.641661672,0.218023263,0.129569656,0.069294808,0.055715792,0.039502879,0.039971799
"73 ""GPR21""",0.102174205,0.092332289,0.122383465,0.098961078,0.506491258,1.47501025,0.3653721,0.693175383,0.095601085,0.108067108,0.119086378,0.169961587,0.228052904,0.25477999,0.521080022,0.21586519,0.243810903,0.493764856,0.606757393,0.885298118,0.531193726,0.097129493,0.063323472,0.119742786,0.030681697,0.06780774,0.04800331
"74 ""GPR22""",0.398424838,0.462183603,0.208178073,0.111021412,0.691659764,2.031375443,0.264104292,0.189583333,0.069372522,0.176737129,0.07194053,0.136189031,0.088701865,0.096638902,0.261044177,0.067538239,0.071632246,2.320090237,3.428758316,1.631165483,2.259340126,0.111815622,0.076498173,0.124859128,0.101554556,0.076743952,0.055080466
"75 ""GPR85""",0.324476453,0.35584373,NA,NA,NA,1.531503441,1.231574328,0.89483185,1.009265056,0.947401424,0.49467217,0.323683033,0.296748022,0.552590058,0.899857765,NA,NA,2.340857639,3.12497363,1.675032614,1.952010896,0.576749441,0.258107052,0.133364968,0.128440444,0.170964027,0.165046945
"76 ""GRHL2""",0.51589818,0.556233028,0.758652641,0.37385493,6.227196213,2.564103676,2.8055709,2.654685318,1.963634723,0.98830892,1.312609151,0.548113959,0.532698519,0.876186396,1.560621349,0.892635155,0.799780842,2.519621612,2.422247128,2.081249178,3.171088166,0.721494236,0.468792135,0.141707003,0.204218918,0.165285776,0.134486474
"77 ""GRIK2""",NA,NA,0.586074401,0.835979076,NA,NA,0.32108647,0.194907722,0.191687745,0.152918596,0.1831165,NA,NA,0.325224903,0.326664216,0.316250382,0.177230481,NA,2.797233045,0.327869254,NA,0.738683953,0.268336271,0.092020833,0.197083541,0.10381781,0.093445935
"78 ""GRIN2B""",0.188990916,0.189841447,0.354405567,0.353127573,0.778241277,NA,0.329357034,0.297379694,0.182279461,0.204998412,0.381008959,0.122808429,0.246193993,0.434754766,0.773881153,0.210411006,0.352520411,0.721141931,1.056954265,0.817865881,1.498292397,0.343752586,0.132374177,0.096050491,0.118790499,0.066660395,0.072518886
"79 ""HCV""",0.143862788,0.174311691,0.323787996,0.25880003,NA,NA,0.95057494,0.668884692,0.243714507,0.161446622,0.163779404,0.125073181,0.199394961,0.366539527,0.564331371,0.129944634,0.271434233,0.672125251,0.95594819,0.685285254,1.320771882,0.384044872,0.097926957,0.128504416,0.065100694,0.058216547,0.081150901
"80 ""HELT""",NA,NA,NA,NA,26.96378558,93.25864351,NA,NA,NA,NA,NA,62.83619639,288.5330667,NA,NA,NA,NA,66.18354293,40.6045437,61.23044423,70.10267844,NA,NA,NA,NA,NA,NA
"81 ""HHIP""",2.999670205,1.978491042,0.922137325,1.340923443,1.063111038,1.629965243,0.635851805,1.027026244,0.462851993,0.493220446,0.879163676,0.500124965,0.531505263,1.572987796,1.872390815,0.775118471,0.85388054,3.774430844,3.617978617,2.127611514,2.031563414,0.73227027,0.329837994,0.582051636,0.535371807,0.328182523,0.230295933
