genes,firefly rep1,renilla rep1,firefly rep2,renilla rep2,firefly rep3,renilla rep3,firefly rep4,renilla rep4,firefly rep5,renilla rep5,firefly rep6,renilla rep6,firefly_avg,renilla_avg
HOXB8 ,0.349353672,0.324537034,1.677487225,0.563833,0.363802402,0.240764326,0.682853799,0.6342154,1.171320475,0.967010819,0.610624144,0.385833576,0.809240286,0.519365693
ESCO1,3.039132032,1.718907112,2.914601827,11.09393408,0.927388282,0.663263963,0.620785119,0.511362448,1.128613517,0.737285277,0.700453871,0.513157185,1.555162441,2.539651678
TTBK2,0.695311722,0.736840166,0.640242835,0.972973046,0.489088705,0.289014578,0.569223457,0.239581047,0.590647291,1.604397778,0.693242996,0.749997984,0.612959501,0.765467433
CTCF,0.330100089,0.333332616,0.592396398,0.454544421,0.411420566,0.190214588,0.69817515,0.419510054,0.696447539,1,0.333067826,0.449662754,0.510267928,0.474544072
FXR2,0.271948994,0.415383337,0.542259464,1.25,0.305494695,0.19905072,0.660626686,0.378694927,1.3249093,0.73469319,0.560828818,0.44021478,0.611011326,0.569672826
GDF5,0.333973999,0.55999888,0.557229654,0.892857143,0.317408343,0.243116838,0.702502824,0.195309839,0.509167505,1.102273399,0.435175175,0.339412928,0.475909583,0.555494838
NCDN,0.231234337,2.014498488,0.860103972,0.772727273,0.255963353,0.35609555,1.03863991,0.608330764,0.657658703,0.717171125,0.421443962,0.426665156,0.577507373,0.815914726
PTP4A2,0.301461932,2.097565616,0.763912136,0.894737119,0.270007842,0.282893534,0.625821661,0.59139682,0.689014455,1.032786778,0.487433278,0.502301811,0.522941884,0.90028028
EXT1,5.473736842,1.275865517,16.80985714,2.9091,0.463902275,0.111888254,0.415552231,1.165472439,2.373511602,2.738297058,2.044460617,1.240006118,4.596836785,1.573438231
SPEN,4.428117695,0.971428653,12.77473361,4.700025,1.420583878,0.25266651,0.512714041,0.242495794,1.839328328,0.765762471,0.900815787,0.269838204,3.64604889,1.200369439
MLL5,0.938461728,1.068968966,2.109900495,1.428570204,2.404822599,1.022376243,0.451469585,0.231318586,0.90768766,0.681032587,1.168371386,0.281385715,1.330118909,0.785608717
C3HC4,0.313177065,1.033336667,0.871279919,1,9.654554728,0.506848602,1.329143722,0.121404131,0.679198644,0.449998214,0.546328581,0.470871642,2.232280443,0.597076543
DCN,0.330043456,1.052631394,1.085641451,0.840909452,0.364637271,0.085142487,0.425728646,0.149998409,0.579736953,0.434282465,0.486197388,0.294369337,0.545330861,0.476222257
HAS2,0.386029171,0.657893006,1.26541632,1.722227778,1.593036104,0.388886214,0.79726787,0.234740049,0.643782253,0.470850168,0.278896846,0.121735123,0.827404761,0.599388723
BARHL1,0.099690095,0.382715394,0.650911016,0.634614867,0.379496155,0.324999219,0.550993268,0.320752634,0.578031486,1.508199973,0.544337821,0.511275855,0.467243307,0.613759657
TRPS1,0.378124704,0.843750488,1.654560074,1.147058391,0.405659233,0.583331746,0.903390736,0.864196967,0.773870896,1.666671528,0.335425767,0.403223361,0.741838568,0.918038747
PAFAH1B1,0.174325547,3.740691126,1.587215212,2.323531401,0.172572169,0.19140365,0.343172264,1.109090512,1.213443523,1.463415943,0.726650684,0.558440681,0.702896567,1.564428886
